"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 21:30:22 GMT 2025","Fri May 02 21:30:23 GMT 2025","412","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri May 02 21:30:14 GMT 2025","Fri May 02 21:30:15 GMT 2025","473","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri May 02 21:30:15 GMT 2025","Fri May 02 21:30:15 GMT 2025","318","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri May 02 21:30:22 GMT 2025","Fri May 02 21:30:22 GMT 2025","611","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri May 02 21:30:13 GMT 2025","Fri May 02 21:30:14 GMT 2025","980","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri May 02 21:30:12 GMT 2025","Fri May 02 21:30:13 GMT 2025","697","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri May 02 21:30:18 GMT 2025","Fri May 02 21:30:19 GMT 2025","537","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 21:30:20 GMT 2025","Fri May 02 21:30:21 GMT 2025","958","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri May 02 21:30:15 GMT 2025","Fri May 02 21:30:16 GMT 2025","968","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri May 02 21:30:23 GMT 2025","Fri May 02 21:30:23 GMT 2025","809","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri May 02 21:30:10 GMT 2025","Fri May 02 21:30:11 GMT 2025","1172","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri May 02 21:30:02 GMT 2025","Fri May 02 21:30:02 GMT 2025","616","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri May 02 21:30:11 GMT 2025","Fri May 02 21:30:12 GMT 2025","1219","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri May 02 21:30:02 GMT 2025","Fri May 02 21:30:03 GMT 2025","296","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri May 02 21:29:50 GMT 2025","Fri May 02 21:29:55 GMT 2025","5064","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri May 02 21:30:14 GMT 2025","Fri May 02 21:30:14 GMT 2025","578","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri May 02 21:30:19 GMT 2025","Fri May 02 21:30:20 GMT 2025","1467","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri May 02 21:30:21 GMT 2025","Fri May 02 21:30:22 GMT 2025","469","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri May 02 21:29:55 GMT 2025","Fri May 02 21:30:02 GMT 2025","6190","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri May 02 21:30:05 GMT 2025","Fri May 02 21:30:10 GMT 2025","4819","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
