"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 20:48:07 GMT 2025","Fri May 02 20:48:09 GMT 2025","1246","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri May 02 20:48:19 GMT 2025","Fri May 02 20:48:20 GMT 2025","663","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri May 02 20:48:07 GMT 2025","Fri May 02 20:48:07 GMT 2025","644","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri May 02 20:48:15 GMT 2025","Fri May 02 20:48:16 GMT 2025","786","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 20:48:09 GMT 2025","Fri May 02 20:48:10 GMT 2025","831","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri May 02 20:47:55 GMT 2025","Fri May 02 20:47:56 GMT 2025","653","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri May 02 20:48:10 GMT 2025","Fri May 02 20:48:11 GMT 2025","511","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri May 02 20:48:11 GMT 2025","Fri May 02 20:48:12 GMT 2025","1054","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri May 02 20:48:16 GMT 2025","Fri May 02 20:48:18 GMT 2025","1796","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri May 02 20:48:18 GMT 2025","Fri May 02 20:48:19 GMT 2025","1182","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri May 02 20:48:05 GMT 2025","Fri May 02 20:48:06 GMT 2025","1351","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri May 02 20:47:49 GMT 2025","Fri May 02 20:47:55 GMT 2025","6315","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri May 02 20:48:21 GMT 2025","Fri May 02 20:48:22 GMT 2025","1175","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri May 02 20:48:21 GMT 2025","Fri May 02 20:48:21 GMT 2025","589","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri May 02 20:48:06 GMT 2025","Fri May 02 20:48:07 GMT 2025","892","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri May 02 20:47:43 GMT 2025","Fri May 02 20:47:49 GMT 2025","5722","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri May 02 20:47:56 GMT 2025","Fri May 02 20:47:56 GMT 2025","320","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri May 02 20:48:20 GMT 2025","Fri May 02 20:48:21 GMT 2025","866","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri May 02 20:48:10 GMT 2025","Fri May 02 20:48:10 GMT 2025","527","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri May 02 20:48:00 GMT 2025","Fri May 02 20:48:05 GMT 2025","4532","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
