"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 20:52:13 GMT 2025","Fri May 02 20:52:14 GMT 2025","425","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri May 02 20:52:21 GMT 2025","Fri May 02 20:52:22 GMT 2025","1182","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri May 02 20:52:24 GMT 2025","Fri May 02 20:52:26 GMT 2025","1150","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri May 02 20:52:18 GMT 2025","Fri May 02 20:52:19 GMT 2025","823","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 20:51:58 GMT 2025","Fri May 02 20:51:58 GMT 2025","674","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri May 02 20:52:10 GMT 2025","Fri May 02 20:52:11 GMT 2025","901","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri May 02 20:52:08 GMT 2025","Fri May 02 20:52:10 GMT 2025","1576","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri May 02 20:52:12 GMT 2025","Fri May 02 20:52:13 GMT 2025","806","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri May 02 20:51:58 GMT 2025","Fri May 02 20:51:59 GMT 2025","330","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri May 02 20:52:11 GMT 2025","Fri May 02 20:52:12 GMT 2025","925","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri May 02 20:52:23 GMT 2025","Fri May 02 20:52:24 GMT 2025","839","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri May 02 20:51:44 GMT 2025","Fri May 02 20:51:51 GMT 2025","7749","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri May 02 20:52:03 GMT 2025","Fri May 02 20:52:08 GMT 2025","4885","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 20:52:11 GMT 2025","Fri May 02 20:52:11 GMT 2025","698","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri May 02 20:52:22 GMT 2025","Fri May 02 20:52:23 GMT 2025","642","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri May 02 20:52:19 GMT 2025","Fri May 02 20:52:21 GMT 2025","1872","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri May 02 20:52:24 GMT 2025","Fri May 02 20:52:24 GMT 2025","692","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri May 02 20:52:14 GMT 2025","Fri May 02 20:52:15 GMT 2025","1041","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri May 02 20:51:51 GMT 2025","Fri May 02 20:51:58 GMT 2025","6334","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri May 02 20:52:13 GMT 2025","Fri May 02 20:52:13 GMT 2025","420","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
