"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 22:42:54 GMT 2025","Fri May 02 22:43:00 GMT 2025","5351","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 22:43:12 GMT 2025","Fri May 02 22:43:14 GMT 2025","1173","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri May 02 22:43:00 GMT 2025","Fri May 02 22:43:01 GMT 2025","1355","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri May 02 22:43:15 GMT 2025","Fri May 02 22:43:16 GMT 2025","592","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri May 02 22:42:51 GMT 2025","Fri May 02 22:42:51 GMT 2025","311","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri May 02 22:43:05 GMT 2025","Fri May 02 22:43:05 GMT 2025","407","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri May 02 22:43:05 GMT 2025","Fri May 02 22:43:06 GMT 2025","390","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri May 02 22:42:44 GMT 2025","Fri May 02 22:42:50 GMT 2025","6184","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri May 02 22:43:14 GMT 2025","Fri May 02 22:43:15 GMT 2025","843","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri May 02 22:43:03 GMT 2025","Fri May 02 22:43:04 GMT 2025","1317","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri May 02 22:43:11 GMT 2025","Fri May 02 22:43:12 GMT 2025","1501","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri May 02 22:42:40 GMT 2025","Fri May 02 22:42:44 GMT 2025","3883","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri May 02 22:43:10 GMT 2025","Fri May 02 22:43:11 GMT 2025","787","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 22:43:02 GMT 2025","Fri May 02 22:43:03 GMT 2025","980","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri May 02 22:43:01 GMT 2025","Fri May 02 22:43:02 GMT 2025","915","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri May 02 22:42:50 GMT 2025","Fri May 02 22:42:51 GMT 2025","605","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri May 02 22:43:14 GMT 2025","Fri May 02 22:43:14 GMT 2025","911","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri May 02 22:43:16 GMT 2025","Fri May 02 22:43:17 GMT 2025","1131","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri May 02 22:43:06 GMT 2025","Fri May 02 22:43:08 GMT 2025","1695","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri May 02 22:43:04 GMT 2025","Fri May 02 22:43:05 GMT 2025","790","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
